2026/05/28 21:39:17 [recon] runtime_config detected_cores=12 free_ram_gb=3.26 computed_workers=36 max_workers=36 env_override_used=false gomaxprocs=12
2026/05/28 21:39:17 [recon] starting server on :8080
2026/05/28 23:40:48 [scan] POST http://localhost:8000/api/recon/scans/186/status/ succeeded (200)
2026/05/28 23:40:48 [scan] starting subdomain discovery with streaming
2026/05/28 23:40:48 [scan] POST http://localhost:8000/api/recon/scans/186/logs/ succeeded (200)
2026/05/28 23:40:48 [recon] starting job: scan_id=186 target=twilio.com
2026/05/28 23:41:13 [recon] prepared 2959 hosts, starting concurrent probing
2026/05/28 23:41:13 [recon] worker_pool targets=2959 workers=36 config_workers=36 job_workers=0
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: one-console-internal.sao-paulo.us1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: kontxt.us1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: umatilla-ix.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: sydney-ix.de1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: internal.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: rtd-kibana-6.us1.eak.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: 18360fdc455db819db90e863c5203665697598b0.console.dev.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: webhooks.stage-ie1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] streamed subdomain: platform.us-east-1.dev.service-catalog-temp.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] streamed subdomain: previews.oneadmin.internal.stage-ie1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] streamed subdomain: webhooks.ashburn.stage-ie1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: chunderw-gll.dev.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: event-bridge.us2.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: 1bcd62fb1d34df339b901fadfccc7e5c897e5c97.console.dev.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: f32c75cae16031f68f858a577c9da9bd7cf349d2.console.dev.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: 6e6df3637b9c79445958a80fa00f27cb8b98467a.console.dev.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: san-jose-ix.us2.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] streamed subdomain: webhooks.sao-paulo.au1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: ab-testing.dev-us1.twilio.com (alive=false)
2026/05/28 23:41:13 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:13 [scan] streamed subdomain: robocop.stage-us2.twilio.com (alive=false)
2026/05/28 23:41:14 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:14 [scan] streamed subdomain: 9e180d49d35a3d4aab53baa78cd031a1af237fa3.console.dev.twilio.com (alive=false)
2026/05/28 23:41:14 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:14 [scan] streamed subdomain: event-bridge.dublin.ie1.twilio.com (alive=true)
2026/05/28 23:41:14 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:14 [scan] streamed subdomain: xdr.ie1.twilio.com (alive=true)
2026/05/28 23:41:14 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:14 [scan] streamed subdomain: dublin.stage-ie1.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: events.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: sm-store.stage.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: chunderw-vpc-gll.stage.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: events-schemas.stage.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: fa6b2c084cb5e57835f4026dc29f52419b087869.console.dev.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: segment.frontline.stage.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: demo.flex.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: 64fdbd9c9f87eedd741d2e303ec1ba542623439f.console.dev.twilio.com (alive=false)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: aassa05.teams.frontline.stage.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: litellm.ai-services.dev.twilio.com (alive=true)
2026/05/28 23:41:15 [scan] POST http://localhost:8000/api/recon/scans/186/ingest/subdomains/ succeeded (200)
2026/05/28 23:41:15 [scan] streamed subdomain: main-metaflow-api.stage-us1.twilio.com (alive=true)
